faculty_id,peer_id,d1_01,d1_02,d1_03,d2_01,d2_02,d2_03,d2_04,d2_05,d2_06,d3_01,d3_02,d3_03,d4_01,d4_02,d5_01,peer_score_percentage_reported,s1_agg,s2_agg,s3_agg,s4_agg,s5_agg,s6_agg,s7_agg,s8_agg,s9_agg,s10_agg,no_of_respondents,set_score_percentage_reported
f01,p15,5,5,5,5,5,4,4,5,5,5,4,5,5,4,5,94.67,3.85,3.78,3.78,3.81,3.78,3.81,3.81,3.85,3.81,3.85,27,95.37
f02,p11,5,4,5,4,5,4,5,4,5,5,5,5,5,5,4,92,3.91,3.91,3.91,3.88,3.91,3.88,3.88,3.85,3.88,3.91,33,97.27
f04,p11,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,97,3.9,3.9,3.9,4,4,4,3.9,3.9,3.9,3.9,10,98.25
f05,p06,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,95.33,3.9,3.81,3.95,3.95,3.95,3.95,3.86,3.9,3.95,4,21,98.1
f06,p16,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,95.67,3.77,3.83,3.83,3.9,3.8,3.9,3.9,3.87,3.9,3.93,30,96.58
f07,p16,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,94.67,3.8,3.9,3.9,3.9,3.9,3.9,3.9,4,4,4,10,98
f08,p04,5,5,5,4,5,4,4,4,4,5,5,5,5,5,4,89.67,3.92,3.92,3.96,4,4,4,3.96,4,4,3.96,26,99.33
f09,p13,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,98.33,4,4,4,3.92,4,4,3.92,4,4,3.92,12,99.38
f10,p18,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,96.67,4,4,4,3.94,4,4,4,4,4,4,18,99.86
f11,p11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.91,3.94,4,4,4,3.97,3.97,3.94,3.97,4,33,99.24
f12,p03,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,93,3.92,3.79,3.88,3.88,3.88,3.92,3.92,3.92,4,3.92,24,97.5
f13,p08,4,5,5,4,5,5,5,4,5,5,4,5,4,5,5,93.67,4,4,4,4,4,4,4,4,4,4,31,100
f14,p13,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,98.33,3.87,3.87,3.89,3.87,3.89,3.92,3.89,3.92,3.89,3.89,38,97.3
f15,p11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.97,3.91,3.97,3.91,3.91,3.94,3.97,3.97,3.97,3.97,34,98.75
f16,p10,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,94.33,3.74,3.71,3.77,3.77,3.81,3.77,3.84,3.81,3.81,3.87,31,94.76
f17,p15,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,95.67,4,4,4,4,4,4,4,4,4,4,22,100
f18,p15,5,5,5,5,5,4,5,5,4,5,5,4,5,4,5,94.67,3.92,3.96,3.96,4,3.96,4,3.92,3.96,3.92,4,25,99
f19,p02,5,5,5,4,4,5,4,5,4,5,4,4,4,4,4,87.33,3.88,3.88,3.93,3.95,3.93,3.98,3.95,3.95,3.95,3.93,41,98.29
f20,p03,5,5,5,4,5,5,4,5,4,5,5,5,4,5,4,92,4,4,4,4,4,4,3.93,4,4,4,15,99.83
f21,p05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.95,4,4,3.95,3.95,4,4,4,4,3.95,20,99.5
f22,p08,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,93.67,4,3.95,3.95,3.95,4,3.95,4,3.95,3.9,3.95,20,99
f23,p05,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,96,4,3.95,4,4,4,4,4,4,4,4,20,99.88
f24,p02,5,5,5,4,4,5,5,4,4,5,4,4,4,4,5,89.33,4,4,4,4,4,4,4,4,4,4,30,100
f25,p04,5,5,5,4,5,4,4,4,4,5,5,5,4,5,4,88.67,3.94,4,3.94,4,3.94,4,3.94,4,3.94,4,17,99.26
f26,p02,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,86.67,3.97,4,3.97,3.97,3.97,3.97,4,3.97,3.91,3.97,32,99.22
f27,p04,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,91.33,3.9,3.85,3.95,3.95,3.95,3.95,3.95,3.9,3.95,3.95,20,98.25
f28,p01,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,97,3.67,3.5,3.67,3.72,3.78,3.56,3.61,3.33,3.72,3.83,18,90.97
f29,p12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.97,4,3.97,3.94,3.9,3.97,3.97,3.97,3.94,3.97,31,98.95
f30,p07,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,98.33,3.9,3.85,3.85,3.85,3.85,3.9,3.9,3.9,3.9,3.9,20,97
f31,p02,5,5,5,4,4,5,5,4,4,5,4,4,4,4,5,89.33,3.91,3.94,3.91,3.97,3.91,3.91,3.94,3.94,3.97,3.94,33,98.33
f32,p17,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,96.67,3.95,3.95,3.95,4,4,4,4,3.95,4,4,22,99.55
f33,p16,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,93,3.67,3.72,3.78,3.75,3.69,3.75,3.64,3.61,3.72,3.78,36,92.78
f34,p16,5,5,5,5,5,4,5,5,4,5,5,5,5,4,4,93.67,3.94,4,3.94,3.94,4,3.94,4,4,3.94,3.94,17,99.12
f37,p01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.83,3.83,3.94,3.83,3.89,4,4,3.83,3.94,3.89,18,97.5
f38,p01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,98,3.95,4,4,3.95,4,4,4,3.95,4,3.95,19,99.47
f39,p15,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,95.67,3.74,3.78,3.85,3.74,3.85,3.96,3.81,3.93,3.93,3.85,27,96.11
