respondent_id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,faculty,department_id
f01r01,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r02,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r03,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r04,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r05,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r06,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r07,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r08,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r09,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r10,3,2,2,3,3,2,2,3,3,3,f01,cit
f01r11,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r12,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r13,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r14,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r15,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r16,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r17,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r18,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r19,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r20,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r21,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r22,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r23,4,4,4,4,4,4,4,4,4,4,f01,cit
f01r24,3,3,3,3,3,3,3,3,3,3,f01,cit
f01r25,4,3,3,3,3,4,4,4,4,4,f01,cit
f01r26,3,3,3,3,3,3,3,3,3,3,f01,cit
f01r27,3,3,3,3,2,3,3,3,2,3,f01,cit
f02r01,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r02,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r03,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r04,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r05,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r06,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r07,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r08,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r09,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r10,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r11,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r12,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r13,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r14,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r15,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r16,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r17,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r18,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r19,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r20,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r21,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r22,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r23,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r24,3,3,3,3,3,3,3,3,3,3,f02,cit
f02r25,4,4,4,3,4,3,3,3,3,4,f02,cit
f02r26,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r27,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r28,3,3,3,3,3,3,3,3,3,3,f02,cit
f02r29,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r30,3,3,3,3,3,3,3,3,3,3,f02,cit
f02r31,4,4,4,4,4,4,4,3,4,4,f02,cit
f02r32,4,4,4,4,4,4,4,4,4,4,f02,cit
f02r33,4,4,4,4,4,4,4,4,4,4,f02,cit
f03r01,4,4,4,4,4,4,4,4,4,,f03,gs
f03r02,4,4,4,4,4,4,4,4,4,,f03,gs
f03r03,4,4,4,4,4,4,4,4,4,,f03,gs
f03r04,4,4,4,4,4,4,4,4,4,,f03,gs
f03r05,4,4,4,4,4,4,4,4,4,,f03,gs
f03r06,4,4,4,4,4,4,4,4,4,,f03,gs
f03r07,4,4,4,4,4,4,4,4,4,,f03,gs
f03r08,4,4,4,4,4,4,4,4,4,,f03,gs
f03r09,4,4,4,4,4,4,4,4,4,,f03,gs
f03r10,4,4,4,4,4,4,4,4,4,,f03,gs
f03r11,4,4,4,4,4,4,4,4,4,,f03,gs
f03r12,4,4,4,4,4,4,4,4,4,,f03,gs
f03r13,4,4,4,4,4,4,4,4,4,,f03,gs
f03r14,4,4,4,4,4,4,4,4,4,,f03,gs
f04r01,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r02,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r03,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r04,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r05,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r06,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r07,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r08,4,4,4,4,4,4,4,4,4,4,f04,cit
f04r09,3,3,3,4,4,4,3,3,3,3,f04,cit
f04r10,4,4,4,4,4,4,4,4,4,4,f04,cit
f05r01,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r02,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r03,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r04,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r05,4,3,3,4,4,4,3,4,4,4,f05,mc
f05r06,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r07,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r08,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r09,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r10,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r11,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r12,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r13,4,4,4,4,4,4,4,4,4,4,f05,mc
f05r14,4,3,4,4,4,4,4,4,4,4,f05,mc
f05r15,3,3,4,3,3,3,3,3,4,4,f05,mc
f05r16,4,4,4,4,4,4,4,4,4,4,f05,mc
